,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kushiro,JP,2021-07-27 04:04:10,42.975,144.3747,291.92,97,100,4.76
1,Bulawayo,ZW,2021-07-27 04:02:46,-20.15,28.5833,278.67,74,0,4.47
2,Kodiak,US,2021-07-27 04:03:17,57.79,-152.4072,287.43,76,44,2.31
3,Hobart,AU,2021-07-27 04:01:58,-42.8794,147.3294,290.07,54,75,1.79
4,New Norfolk,AU,2021-07-27 04:04:13,-42.7826,147.0587,289.87,55,69,2.68
5,Lensk,RU,2021-07-27 04:04:14,60.7253,114.9278,305.56,28,4,2.93
6,Bethel,US,2021-07-27 04:03:18,41.3712,-73.414,296.28,87,1,1.48
7,Pechenga,RU,2021-07-27 04:04:15,69.5259,31.1703,282.63,78,20,1.46
8,Rikitea,PF,2021-07-27 04:03:07,-23.1203,-134.9692,296.99,79,99,8.33
9,Fatwa,IN,2021-07-27 04:04:17,25.5167,85.3167,299.2,63,100,1.92
10,Punta Arenas,CL,2021-07-27 04:02:57,-53.15,-70.9167,278.21,86,96,3.6
11,Tura,IN,2021-07-27 04:04:18,25.5198,90.2201,301.1,86,100,2.65
12,Bud,US,2021-07-27 04:04:19,39.447,-86.1758,297.06,85,0,3.01
13,Saint-Philippe,RE,2021-07-27 04:04:19,-21.3585,55.7679,291.92,83,87,4.42
14,Baghdad,IQ,2021-07-27 04:01:02,33.3406,44.4009,312.89,14,0,4.96
15,Wagga Wagga,AU,2021-07-27 04:04:21,-35.1167,147.3667,290.15,65,68,5.88
16,Repnoye,RU,2021-07-27 04:04:22,51.5921,43.1861,293.51,47,7,1.43
17,Rovaniemi,FI,2021-07-27 04:04:23,66.5,25.7167,287.82,82,0,2.57
18,Vostok,RU,2021-07-27 04:04:24,46.4856,135.8833,304.54,48,99,2.33
19,Mezen,RU,2021-07-27 04:04:25,65.8522,44.24,281.36,81,100,6.01
20,Vaini,TO,2021-07-27 04:03:24,-21.2,-175.2,296.12,74,97,6.56
21,Mahebourg,MU,2021-07-27 04:04:27,-20.4081,57.7,293.85,79,75,6.76
22,Bathsheba,BB,2021-07-27 04:04:28,13.2167,-59.5167,299.49,83,40,4.12
23,Mar Del Plata,AR,2021-07-27 04:01:22,-38.0023,-57.5575,276.53,45,30,4.92
24,Naze,JP,2021-07-27 04:03:22,28.3667,129.4833,299.1,82,100,5.82
25,Jamestown,US,2021-07-27 04:00:44,42.097,-79.2353,293.44,81,0,0.45
26,Banda Aceh,ID,2021-07-27 04:04:33,5.5577,95.3222,303.65,66,70,5.79
27,Rio Grande,BR,2021-07-27 04:03:12,-32.035,-52.0986,283.12,84,100,7.87
28,Coquimbo,CL,2021-07-27 04:03:34,-29.9533,-71.3436,285.07,82,0,2.49
29,Port Alfred,ZA,2021-07-27 04:04:35,-33.5906,26.891,290.27,31,39,6.1
30,Bredasdorp,ZA,2021-07-27 04:04:36,-34.5322,20.0403,282.93,63,4,2.16
31,Saint Anthony,US,2021-07-27 04:04:37,45.0205,-93.218,301.32,73,1,0.45
32,Salalah,OM,2021-07-27 04:04:38,17.0151,54.0924,299.2,89,75,2.57
33,Udachnyy,RU,2021-07-27 04:04:06,66.4167,112.4,303.52,32,61,2.34
34,Codrington,AU,2021-07-27 04:04:39,-38.2667,141.9667,287.26,61,100,10.71
35,Almaznyy,RU,2021-07-27 04:04:40,48.0448,40.045,295.23,48,56,3.82
36,Albany,US,2021-07-27 04:00:43,42.6001,-73.9662,293.72,84,0,1.72
37,Avarua,CK,2021-07-27 04:03:35,-21.2078,-159.775,298.18,78,75,2.06
38,Turukhansk,RU,2021-07-27 04:04:42,65.8167,87.9833,300.99,44,54,8.78
39,Mataura,NZ,2021-07-27 04:04:42,-46.1927,168.8643,283.97,74,21,1.55
40,Victoria,HK,2021-07-27 04:04:43,22.2855,114.1577,308.14,75,99,4.92
41,Atuona,PF,2021-07-27 04:04:44,-9.8,-139.0333,298.76,72,46,10.23
42,Mount Isa,AU,2021-07-27 04:04:45,-20.7333,139.5,302.02,17,64,5.14
43,Yulara,AU,2021-07-27 04:04:46,-25.2406,130.9889,301.06,16,14,10.29
44,Longyearbyen,SJ,2021-07-27 04:01:11,78.2186,15.6401,279.12,89,100,0.81
45,Hermanus,ZA,2021-07-27 04:04:47,-34.4187,19.2345,285.32,68,1,5.0
46,Coahuayana,MX,2021-07-27 04:04:48,18.7333,-103.6833,299.35,90,68,0.61
47,Kajaani,FI,2021-07-27 04:04:49,64.2273,27.7285,289.18,82,0,2.06
48,Sioux Lookout,CA,2021-07-27 04:04:50,50.1001,-91.917,286.29,88,72,0.41
49,Kruisfontein,ZA,2021-07-27 04:04:51,-34.0033,24.7314,293.64,26,8,9.47
50,Hilo,US,2021-07-27 04:00:31,19.7297,-155.09,299.0,86,90,5.14
51,Puerto El Triunfo,SV,2021-07-27 04:04:39,13.2833,-88.55,302.66,88,12,2.19
52,Talnakh,RU,2021-07-27 04:04:53,69.4865,88.3972,302.52,40,76,6.75
53,Sudislavl,RU,2021-07-27 04:04:53,57.8817,41.7083,290.48,73,8,1.92
54,Hirna,ET,2021-07-27 04:04:54,9.2167,41.1,287.96,89,100,3.2
55,Jawar,IN,2021-07-27 04:04:55,23.0,76.5,295.97,94,100,5.62
56,Santa Isabel Do Rio Negro,BR,2021-07-27 04:04:56,-0.4139,-65.0192,296.43,89,100,1.15
57,Tasiilaq,GL,2021-07-27 04:04:57,65.6145,-37.6368,279.24,89,28,2.3
58,Rio Cuarto,AR,2021-07-27 04:04:57,-33.1307,-64.3499,271.95,40,4,3.93
59,Arona,ES,2021-07-27 04:04:58,28.0996,-16.681,292.5,79,75,6.17
